CVE,Severity_score,Exploitability_score,Impact_score,Access_complexity,Severity
CVE-2011-1651,7.8,10.0,6.9,LOW,HIGH
CVE-2011-1652,5.0,10.0,2.9,LOW,MEDIUM
CVE-2011-1767,5.4,4.9,6.9,HIGH,MEDIUM
CVE-2011-1927,5.0,10.0,2.9,LOW,MEDIUM
CVE-2011-2213,4.9,3.9,6.9,LOW,MEDIUM
CVE-2011-2534,7.2,3.9,10.0,LOW,HIGH
CVE-2011-2549,7.8,10.0,6.9,LOW,HIGH
CVE-2011-3188,6.4,10.0,4.9,LOW,MEDIUM
CVE-2011-3295,7.8,10.0,6.9,LOW,HIGH
CVE-2011-3325,5.0,10.0,2.9,LOW,MEDIUM
CVE-2011-3326,5.0,10.0,2.9,LOW,MEDIUM
CVE-2011-3327,7.5,10.0,6.4,LOW,HIGH
CVE-2012-0207,7.8,10.0,6.9,LOW,HIGH
CVE-2012-0353,7.1,8.6,6.9,MEDIUM,HIGH
CVE-2012-0354,7.1,8.6,6.9,MEDIUM,HIGH
CVE-2012-0355,7.8,10.0,6.9,LOW,HIGH
CVE-2012-0356,7.8,10.0,6.9,LOW,HIGH
CVE-2012-0381,7.8,10.0,6.9,LOW,HIGH
CVE-2012-2337,7.2,3.9,10.0,LOW,HIGH
CVE-2012-4091,5.0,10.0,2.9,LOW,MEDIUM
CVE-2012-4565,4.7,3.4,6.9,MEDIUM,MEDIUM
CVE-2012-4620,7.8,10.0,6.9,LOW,HIGH
CVE-2012-4629,7.8,10.0,6.9,LOW,HIGH
CVE-2012-4643,7.1,8.6,6.9,MEDIUM,HIGH
CVE-2012-4659,7.1,8.6,6.9,MEDIUM,HIGH
CVE-2012-5419,7.8,10.0,6.9,LOW,HIGH
CVE-2012-6054,5.0,10.0,2.9,LOW,MEDIUM
CVE-2012-6638,7.8,10.0,6.9,LOW,HIGH
CVE-2013-0310,6.6,2.7,10.0,MEDIUM,MEDIUM
CVE-2013-1142,7.8,10.0,6.9,LOW,HIGH
CVE-2013-1144,7.8,10.0,6.9,LOW,HIGH
CVE-2013-1148,7.8,10.0,6.9,LOW,HIGH
CVE-2013-1189,5.7,5.5,6.9,MEDIUM,MEDIUM
CVE-2013-1218,7.8,10.0,6.9,LOW,HIGH
CVE-2013-1243,7.8,10.0,6.9,LOW,HIGH
CVE-2013-2128,4.9,3.9,6.9,LOW,MEDIUM
CVE-2013-2232,4.9,3.9,6.9,LOW,MEDIUM
CVE-2013-3382,7.8,10.0,6.9,LOW,HIGH
CVE-2013-3383,9.0,8.0,10.0,LOW,HIGH
CVE-2013-3410,7.8,10.0,6.9,LOW,HIGH
CVE-2013-3411,7.8,10.0,6.9,LOW,HIGH
CVE-2013-4470,6.9,3.4,10.0,MEDIUM,MEDIUM
CVE-2013-5476,7.8,10.0,6.9,LOW,HIGH
CVE-2013-5479,7.8,10.0,6.9,LOW,HIGH
CVE-2013-5480,7.8,10.0,6.9,LOW,HIGH
CVE-2013-5547,7.8,10.0,6.9,LOW,HIGH
CVE-2013-5549,7.1,8.6,6.9,MEDIUM,HIGH
CVE-2013-5553,7.8,10.0,6.9,LOW,HIGH
CVE-2013-6432,4.6,3.1,6.9,LOW,MEDIUM
CVE-2013-7263,4.9,3.9,6.9,LOW,MEDIUM
CVE-2013-7470,7.1,8.6,6.9,MEDIUM,HIGH
CVE-2014-0100,9.3,8.6,10.0,MEDIUM,HIGH
CVE-2014-2144,6.1,6.5,6.9,LOW,MEDIUM
CVE-2014-2851,6.9,3.4,10.0,MEDIUM,MEDIUM
CVE-2014-3293,5.0,10.0,2.9,LOW,MEDIUM
CVE-2014-3322,6.1,6.5,6.9,LOW,MEDIUM
CVE-2014-3327,7.8,10.0,6.9,LOW,HIGH
CVE-2014-3361,7.1,8.6,6.9,MEDIUM,HIGH
CVE-2014-3817,7.8,10.0,6.9,LOW,HIGH
CVE-2014-3822,5.4,4.9,6.9,HIGH,MEDIUM
CVE-2014-4167,3.5,6.8,2.9,MEDIUM,LOW
CVE-2014-4764,7.1,8.6,6.9,MEDIUM,HIGH
CVE-2014-6380,7.8,10.0,6.9,LOW,HIGH
CVE-2014-8680,5.4,4.9,6.9,HIGH,MEDIUM
CVE-2014-9914,7.2,3.9,10.0,LOW,HIGH
CVE-2015-0586,7.8,10.0,6.9,LOW,HIGH
CVE-2015-0639,7.8,10.0,6.9,LOW,HIGH
CVE-2015-0642,7.8,10.0,6.9,LOW,HIGH
CVE-2015-0643,7.8,10.0,6.9,LOW,HIGH
CVE-2015-0645,7.8,10.0,6.9,LOW,HIGH
CVE-2015-0646,7.8,10.0,6.9,LOW,HIGH
CVE-2015-0650,7.8,10.0,6.9,LOW,HIGH
CVE-2015-0695,7.8,10.0,6.9,LOW,HIGH
CVE-2015-1465,7.8,10.0,6.9,LOW,HIGH
CVE-2015-3636,4.9,3.9,6.9,LOW,MEDIUM
CVE-2015-4199,7.1,8.6,6.9,MEDIUM,HIGH
CVE-2015-4200,7.8,10.0,6.9,LOW,HIGH
CVE-2015-4291,7.8,10.0,6.9,LOW,HIGH
CVE-2015-4293,5.0,10.0,2.9,LOW,MEDIUM
CVE-2015-5144,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2015-6249,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2015-6268,7.8,10.0,6.9,LOW,HIGH
CVE-2015-6269,7.8,10.0,6.9,LOW,HIGH
CVE-2015-6274,5.0,10.0,2.9,LOW,MEDIUM
CVE-2015-6282,7.8,10.0,6.9,LOW,HIGH
CVE-2015-6392,7.8,10.0,6.9,LOW,HIGH
CVE-2015-6393,7.8,10.0,6.9,LOW,HIGH
CVE-2015-6398,7.8,10.0,6.9,LOW,HIGH
CVE-2015-7987,6.8,8.6,6.4,MEDIUM,MEDIUM
CVE-2015-8605,5.7,5.5,6.9,MEDIUM,MEDIUM
CVE-2015-8714,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2015-8787,10.0,10.0,10.0,LOW,HIGH
CVE-2016-10739,4.6,3.9,6.4,LOW,MEDIUM
CVE-2016-1399,5.0,10.0,2.9,LOW,MEDIUM
CVE-2016-2070,7.8,10.0,6.9,LOW,HIGH
CVE-2016-2222,5.0,10.0,2.9,LOW,MEDIUM
CVE-2016-3156,2.1,3.9,2.9,LOW,LOW
CVE-2016-3707,6.8,8.6,6.4,MEDIUM,MEDIUM
CVE-2016-5104,5.0,10.0,2.9,LOW,MEDIUM
CVE-2016-5696,5.8,8.6,4.9,MEDIUM,MEDIUM
CVE-2016-6366,8.5,6.8,10.0,MEDIUM,HIGH
CVE-2016-6386,7.8,10.0,6.9,LOW,HIGH
CVE-2016-6392,7.8,10.0,6.9,LOW,HIGH
CVE-2016-6432,9.3,8.6,10.0,MEDIUM,HIGH
CVE-2016-8645,4.9,3.9,6.9,LOW,MEDIUM
CVE-2016-8666,7.8,10.0,6.9,LOW,HIGH
CVE-2017-1000112,6.9,3.4,10.0,MEDIUM,MEDIUM
CVE-2017-10608,5.0,10.0,2.9,LOW,MEDIUM
CVE-2017-10610,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2017-12231,7.8,10.0,6.9,LOW,HIGH
CVE-2017-12236,7.5,10.0,6.4,LOW,HIGH
CVE-2017-13686,7.2,3.9,10.0,LOW,HIGH
CVE-2017-14106,4.9,3.9,6.9,LOW,MEDIUM
CVE-2017-14429,10.0,10.0,10.0,LOW,HIGH
CVE-2017-17712,6.9,3.4,10.0,MEDIUM,MEDIUM
CVE-2017-17997,5.0,10.0,2.9,LOW,MEDIUM
CVE-2017-2153,5.0,10.0,2.9,LOW,MEDIUM
CVE-2017-2312,6.8,8.0,6.9,LOW,MEDIUM
CVE-2017-2634,7.8,10.0,6.9,LOW,HIGH
CVE-2017-2671,4.9,3.9,6.9,LOW,MEDIUM
CVE-2017-3792,10.0,10.0,10.0,LOW,HIGH
CVE-2017-3807,8.0,8.0,8.5,LOW,HIGH
CVE-2017-3819,9.0,8.0,10.0,LOW,HIGH
CVE-2017-3825,5.0,10.0,2.9,LOW,MEDIUM
CVE-2017-3860,7.8,10.0,6.9,LOW,HIGH
CVE-2017-3861,7.8,10.0,6.9,LOW,HIGH
CVE-2017-3862,7.8,10.0,6.9,LOW,HIGH
CVE-2017-3863,7.8,10.0,6.9,LOW,HIGH
CVE-2017-5970,5.0,10.0,2.9,LOW,MEDIUM
CVE-2017-6135,7.8,10.0,6.9,LOW,HIGH
CVE-2017-6214,5.0,10.0,2.9,LOW,MEDIUM
CVE-2017-6347,7.2,3.9,10.0,LOW,HIGH
CVE-2017-6520,6.4,10.0,4.9,LOW,MEDIUM
CVE-2017-6607,5.8,8.6,4.9,MEDIUM,MEDIUM
CVE-2017-6608,7.8,10.0,6.9,LOW,HIGH
CVE-2017-6609,6.8,8.0,6.9,LOW,MEDIUM
CVE-2017-6610,6.8,8.0,6.9,LOW,MEDIUM
CVE-2017-6678,7.8,10.0,6.9,LOW,HIGH
CVE-2017-6736,9.0,8.0,10.0,LOW,HIGH
CVE-2017-6737,9.0,8.0,10.0,LOW,HIGH
CVE-2017-6738,9.0,8.0,10.0,LOW,HIGH
CVE-2017-6739,9.0,8.0,10.0,LOW,HIGH
CVE-2017-6740,9.0,8.0,10.0,LOW,HIGH
CVE-2017-6741,9.0,8.0,10.0,LOW,HIGH
CVE-2017-6742,9.0,8.0,10.0,LOW,HIGH
CVE-2017-6743,9.0,8.0,10.0,LOW,HIGH
CVE-2017-6744,9.0,8.0,10.0,LOW,HIGH
CVE-2017-7177,5.0,10.0,2.9,LOW,MEDIUM
CVE-2017-7397,5.0,10.0,2.9,LOW,MEDIUM
CVE-2017-8890,7.2,3.9,10.0,LOW,HIGH
CVE-2017-9343,5.0,10.0,2.9,LOW,MEDIUM
CVE-2017-9354,5.0,10.0,2.9,LOW,MEDIUM
CVE-2018-0034,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2018-0043,5.8,6.5,6.4,LOW,MEDIUM
CVE-2018-0050,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2018-0177,7.8,10.0,6.9,LOW,HIGH
CVE-2018-0228,7.8,10.0,6.9,LOW,HIGH
CVE-2018-0230,7.8,10.0,6.9,LOW,HIGH
CVE-2018-0239,5.0,10.0,2.9,LOW,MEDIUM
CVE-2018-0241,6.1,6.5,6.9,LOW,MEDIUM
CVE-2018-0252,7.8,10.0,6.9,LOW,HIGH
CVE-2018-0296,5.0,10.0,2.9,LOW,MEDIUM
CVE-2018-0353,5.0,10.0,2.9,LOW,MEDIUM
CVE-2018-0369,5.0,10.0,2.9,LOW,MEDIUM
CVE-2018-0372,7.8,10.0,6.9,LOW,HIGH
CVE-2018-0378,7.8,10.0,6.9,LOW,HIGH
CVE-2018-0409,5.0,10.0,2.9,LOW,MEDIUM
CVE-2018-0410,7.8,10.0,6.9,LOW,HIGH
CVE-2018-0455,5.0,10.0,2.9,LOW,MEDIUM
CVE-2018-1065,4.7,3.4,6.9,MEDIUM,MEDIUM
CVE-2018-10938,7.1,8.6,6.9,MEDIUM,HIGH
CVE-2018-11492,7.8,10.0,6.9,LOW,HIGH
CVE-2018-12327,7.5,10.0,6.4,LOW,HIGH
CVE-2018-14641,7.1,8.6,6.9,MEDIUM,HIGH
CVE-2018-15391,7.8,10.0,6.9,LOW,HIGH
CVE-2018-18442,7.8,10.0,6.9,LOW,HIGH
CVE-2018-19081,10.0,10.0,10.0,LOW,HIGH
CVE-2018-19082,7.5,10.0,6.4,LOW,HIGH
CVE-2018-20503,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2018-20587,2.1,3.9,2.9,LOW,LOW
CVE-2018-20721,7.5,10.0,6.4,LOW,HIGH
CVE-2018-20812,5.0,10.0,2.9,LOW,MEDIUM
CVE-2018-7798,6.4,10.0,4.9,LOW,MEDIUM
CVE-2018-9158,5.0,10.0,2.9,LOW,MEDIUM
CVE-2019-0002,7.5,10.0,6.4,LOW,HIGH
CVE-2019-0005,5.0,10.0,2.9,LOW,MEDIUM
CVE-2019-0013,5.0,10.0,2.9,LOW,MEDIUM
CVE-2019-0014,5.0,10.0,2.9,LOW,MEDIUM
CVE-2019-0031,5.0,10.0,2.9,LOW,MEDIUM
CVE-2019-0033,5.0,10.0,2.9,LOW,MEDIUM
CVE-2019-0037,5.0,10.0,2.9,LOW,MEDIUM
CVE-2019-0056,5.0,10.0,2.9,LOW,MEDIUM
CVE-2019-0066,5.0,10.0,2.9,LOW,MEDIUM
CVE-2019-11683,10.0,10.0,10.0,LOW,HIGH
CVE-2019-12256,7.5,10.0,6.4,LOW,HIGH
CVE-2019-12264,4.8,6.5,4.9,LOW,MEDIUM
CVE-2019-12381,4.9,3.9,6.9,LOW,MEDIUM
CVE-2019-12653,7.8,10.0,6.9,LOW,HIGH
CVE-2019-12655,7.8,10.0,6.9,LOW,HIGH
CVE-2019-12664,5.0,10.0,2.9,LOW,MEDIUM
CVE-2019-13951,7.5,10.0,6.4,LOW,HIGH
CVE-2019-15239,7.2,3.9,10.0,LOW,HIGH
CVE-2019-16410,6.4,10.0,4.9,LOW,MEDIUM
CVE-2019-16411,7.5,10.0,6.4,LOW,HIGH
CVE-2019-1708,7.8,10.0,6.9,LOW,HIGH
CVE-2019-1751,7.8,10.0,6.9,LOW,HIGH
CVE-2019-1804,10.0,10.0,10.0,LOW,HIGH
CVE-2019-1873,7.8,10.0,6.9,LOW,HIGH
CVE-2019-18805,7.5,10.0,6.4,LOW,HIGH
CVE-2019-19241,4.6,3.9,6.4,LOW,MEDIUM
CVE-2019-8315,9.0,8.0,10.0,LOW,HIGH
CVE-2019-8319,9.0,8.0,10.0,LOW,HIGH
CVE-2019-8580,5.0,10.0,2.9,LOW,MEDIUM
CVE-2019-9162,4.6,3.9,6.4,LOW,MEDIUM
CVE-2020-11091,3.5,6.8,2.9,MEDIUM,LOW
CVE-2020-11896,9.3,8.6,10.0,MEDIUM,HIGH
CVE-2020-11898,6.4,10.0,4.9,LOW,MEDIUM
CVE-2020-11900,6.4,10.0,4.9,LOW,MEDIUM
CVE-2020-11902,7.5,10.0,6.4,LOW,HIGH
CVE-2020-11909,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-12815,3.5,6.8,2.9,MEDIUM,LOW
CVE-2020-13817,5.8,8.6,4.9,MEDIUM,MEDIUM
CVE-2020-13987,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-13988,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-14422,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2020-15590,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-15879,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-1600,6.8,8.0,6.9,LOW,MEDIUM
CVE-2020-1602,8.3,6.5,10.0,LOW,HIGH
CVE-2020-1604,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-1605,8.3,6.5,10.0,LOW,HIGH
CVE-2020-1613,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-1633,3.3,6.5,2.9,LOW,LOW
CVE-2020-1634,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2020-1638,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-1640,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-1644,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-1653,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-1657,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-1665,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-1670,3.3,6.5,2.9,LOW,LOW
CVE-2020-1680,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-1681,3.3,6.5,2.9,LOW,LOW
CVE-2020-16849,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-1686,7.8,10.0,6.9,LOW,HIGH
CVE-2020-25767,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-26961,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2020-3179,7.8,10.0,6.9,LOW,HIGH
CVE-2020-3255,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-3304,7.8,10.0,6.9,LOW,HIGH
CVE-2020-3363,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-3373,7.8,10.0,6.9,LOW,HIGH
CVE-2020-3414,7.8,10.0,6.9,LOW,HIGH
CVE-2020-3496,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-3500,7.8,10.0,6.9,LOW,HIGH
CVE-2020-36477,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2020-5204,6.5,8.0,6.4,LOW,MEDIUM
CVE-2020-6111,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-7524,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-8138,4.0,8.0,2.9,LOW,MEDIUM
CVE-2021-0207,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-0222,6.1,6.5,6.9,LOW,MEDIUM
CVE-2021-0226,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-0243,3.3,6.5,2.9,LOW,LOW
CVE-2021-0250,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-0282,7.1,8.6,6.9,MEDIUM,HIGH
CVE-2021-0292,3.3,6.5,2.9,LOW,LOW
CVE-2021-0299,7.1,8.6,6.9,MEDIUM,HIGH
CVE-2021-1353,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-1394,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2021-1446,7.1,8.6,6.9,MEDIUM,HIGH
CVE-2021-1600,5.8,6.5,6.4,LOW,MEDIUM
CVE-2021-1601,5.8,6.5,6.4,LOW,MEDIUM
CVE-2021-20149,7.5,10.0,6.4,LOW,HIGH
CVE-2021-20322,5.8,8.6,4.9,MEDIUM,MEDIUM
CVE-2021-24016,9.3,8.6,10.0,MEDIUM,HIGH
CVE-2021-28504,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2021-28505,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-29921,7.5,10.0,6.4,LOW,HIGH
CVE-2021-29922,6.4,10.0,4.9,LOW,MEDIUM
CVE-2021-31374,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-31379,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2021-33033,4.6,3.9,6.4,LOW,MEDIUM
CVE-2021-33571,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-3384,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-45387,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2021-45486,2.7,5.1,2.9,LOW,LOW
CVE-2021-45487,5.0,10.0,2.9,LOW,MEDIUM
